n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
62 42917950 42753324 42944571 42938098 42936563 42931592 42933362 42939788 42930276 42931882 42948559 42936847 42935125 42946911 42938902 42937523 42944989 42933870 42936792 42934109 42929422 42933593 42942039 42929212 42931175 42930902 42934759 42948511 42941692 42937281 82178315 -14362765 
63 42907705 42754773 42935186 42949479 42944670 42941924 42929262 42942554 42932636 42941813 42942871 42946252 42932334 42936101 42940355 42936210 42936044 42936781 42944601 42938028 42935214 42939093 42931490 42943237 42930914 42944409 42933083 42936604 42953256 42940739 42944457 -338761079 
64 42923220 42765315 42934836 42931507 42944809 42943293 42941484 42941580 42948899 42940165 42939647 42933528 42928135 42938470 42938550 42938788 42930216 42939703 42942705 42943479 42929847 42947485 42927744 42945779 42943132 42948751 42951380 42931449 42942851 42943429 42924426 1153733902 
65 42904800 42767738 42938264 42940324 42925626 42945989 42941343 42925363 42938027 42934374 42943456 42931711 42941396 42952222 42938412 42938471 42952616 42940941 42951188 42941344 42932518 42944608 42945033 42919029 42947154 42937427 42944143 42936985 42938736 42946260 -2066790794 -347914066 
66 42916274 42761766 42936470 42936223 42945828 42947531 42941347 42937792 42930993 42935832 42932255 42936173 42929709 42935913 42939169 42931787 42929279 42936913 42939987 42932959 42932367 42925702 42937151 42926943 42942743 42943848 42936119 42941372 42930281 42949700 -2058414520 1772282561 
67 42937534 42763800 42932188 42932354 42941442 42936410 42937273 42943250 42940246 42943666 42940715 42934664 42928882 42926713 42943018 42936359 42934487 42936267 42938832 42943156 42925858 42943563 42936311 42923049 42936329 42951560 42938988 42937114 42939965 42926947 -2061820265 1891042823 
68 42920392 42769966 42930523 42950326 42936481 42939064 42934122 42935852 42927621 42935230 42940091 42936659 42928687 42925628 42947963 42915750 42947441 42945379 42957341 42928502 42936135 42933492 42946509 42931977 42930210 42945666 42942099 42955645 42946801 42936310 -2060575482 42932083 
69 42906781 42777910 42935088 42946455 42939913 42923402 42938035 42943917 42943968 42938519 42939365 42938728 42930451 42944078 42946176 42919945 42934691 42941494 42936570 42941292 42927158 42946329 42941311 42940315 42940223 42931698 42938948 42940968 42934104 42941815 80698479 42930164 
70 42910133 42773979 42939945 42939715 42934821 42937767 42939920 42945710 42939993 42949388 42939112 42948091 42931296 42938213 42946956 42943590 42930444 42933046 42933248 42941871 42936474 42940331 42951170 42950731 42933483 42959757 42928624 42939427 42946053 42927721 42941928 -349810067 
71 42920758 42772916 42945300 42941625 42938774 42935865 42934616 42943257 42944029 42934025 42935129 42932333 42941869 42943104 42940106 42945512 42942722 42938285 42927496 42941539 42950440 42938756 42947597 42946896 42946553 42928441 42944119 42938103 42942089 42948803 42945066 -13082872 
72 42929697 42763205 42927571 42927124 42944812 42948481 42933829 42938221 42935416 42930732 42935396 42932280 42945992 42927582 42941749 42928215 42937784 42942311 42940083 42937936 42953292 42950118 42941821 42935678 42937053 42935141 42952875 42927241 42945543 42948171 42940566 42930030 
73 42909574 42775476 42937186 42933828 42937947 42945615 42934824 42949109 42932798 42940547 42945529 42936115 42940800 42937384 42937242 42945770 42948179 42953809 42936257 42942947 42937476 42928801 42945904 42949414 42940398 42950678 42942388 42940952 42930575 42941319 42946770 -13085021 
74 42918016 42774258 42952815 42934709 42951298 42930670 42934574 42937487 42938831 42943857 42941623 42951616 42939871 42931728 42947877 42926168 42939307 42962116 42955771 42942961 42946018 42944943 42933888 42942933 42933700 42940361 42933052 42934625 42938355 42941099 42931249 -13081730 
75 42931514 42779857 42949375 42942092 42939233 42943317 42938192 42942379 42947810 42937834 42933736 42932097 42948831 42943873 42937030 42929005 42942308 42942156 42935769 42941311 42944381 42945189 42936680 42942279 42945131 42929873 42946347 42953681 42948819 42944722 42942892 -13102013 
76 42934538 42775373 42944056 42941885 42957848 42956257 42943325 42927132 42944958 42944134 42942798 42948923 42947560 42940574 42941620 42929193 42938296 42959669 42931319 42935974 42931116 42929039 42943305 42948773 42942831 42944525 42937340 42935568 42937316 42933145 42936511 -14204009 
77 42907154 42776151 42938628 42945503 42936177 42940652 42944834 42944019 42942446 42946500 42941039 42945844 42935336 42943229 42942950 42935401 42943552 42943795 42940537 42952644 42947061 42939823 42943744 42949598 42942931 42940088 42941576 42952705 42937925 42940417 42949761 42934743 
78 42919108 42762855 42948357 42941954 42945960 42932959 42948241 42940042 42948528 42940061 42937287 42942642 42937739 42936579 42947470 42929844 42950203 42937437 42940609 42935387 42930569 42949963 42940242 42940017 42943637 42943094 42945982 42944096 42943930 42929137 42930717 -2104544183 
