n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
39 429255641 427367292 429414980 429367489 429378641 429293650 429315821 429312277 429279265 429300720 429378750 429277392 429332620 429312227 429306004 429275312 429333452 429339207 429291775 429294073 429322367 429363490 429303548 429358180 429299683 429318645 429339530 429297596 429352343 429316030 429375514 429256974 
40 429248818 427339403 429275222 429337524 429325704 429322564 429348272 429333239 429316940 429254721 429359604 429321392 429299114 429378441 429291131 429251384 429317389 429314712 429288395 429261789 429295168 429276271 429258330 429302470 429242220 429301512 429271398 429324690 429330794 429340587 429220234 429298434 
41 429242822 427370795 429308174 429320506 429298426 429316345 429364907 429289305 429264977 429355201 429313415 429327009 429340148 429309962 429374665 429230035 429340704 429327032 429336210 429355536 429314654 429329640 429330699 429301144 429360323 429288887 429362717 429342856 429298191 429324142 429374481 429264371 
42 429278721 427335505 429313700 429346101 429341327 429330838 429313948 429345767 429309641 429334098 429349463 429275821 429345094 429306148 429347087 429300631 429348163 429319162 429327233 429386008 429304726 429351935 429278840 429302066 429369172 429288815 429326727 429353656 429352582 429399953 429233850 429306183 
43 429140228 427427961 429390028 429290685 429322843 429319222 429331265 429298288 429374091 429299569 429318970 429285508 429307870 429300427 429259187 429251317 429272459 429352702 429298639 429309435 429359821 429320249 429306788 429307983 429353416 429343328 429335238 429364840 429296318 429306073 429400790 429261503 
44 429221061 427375329 429326142 429354772 429347661 429272737 429361217 429339585 429323410 429325683 429303428 429307812 429326103 429356398 429341458 429268985 429341516 429309352 429278106 429357062 429299146 429326552 429333670 429290998 429383879 429339336 429331602 429341292 429342263 429267728 429290160 429318245 
45 429194875 427439155 429350744 429319250 429325891 429348394 429341636 429322047 429325624 429343745 429355821 429353021 429350133 429334725 429308211 429315502 429328928 429333363 429364377 429318627 429296315 429315017 429338821 429324169 429338967 429333724 429385156 429287072 429365521 429349383 429461316 429292763 
46 429175361 427408761 429370713 429360488 429332429 429297594 429359545 429374189 429341776 429329680 429333604 429309912 429358675 429335890 429308937 429308948 429370812 429277802 429354296 429308396 429278629 429273943 429361249 429341971 429345188 429354832 429324848 429296573 429306751 429343944 429285649 429321654 
47 429127927 427378295 429392166 429346307 429330085 429312649 429310031 429282406 429384788 429301781 429351574 429348794 429366311 429374939 429343337 429265248 429317138 429388725 429372187 429357335 429341326 429380534 429454878 429355699 429351480 429327932 429348148 429337785 429356097 429307605 429476959 429227175 
48 429282123 427408047 429341122 429329381 429328732 429338901 429327293 429370699 429353667 429324669 429351373 429363523 429336457 429335707 429371261 429287296 429337024 429357120 429337525 429331213 429384427 429319887 429340504 429388378 429361989 429365216 429375486 429368886 429355347 429359281 429291771 429320562 
49 429017283 427449026 429348753 429341103 429318196 429319704 429360292 429359142 429380450 429318269 429333269 429373649 429338248 429354290 429305945 429283559 429369912 429382031 429353062 429373014 429355729 429348651 429351465 429338685 429381166 429373626 429355374 429449919 429443530 429351464 429443250 429297353 
50 429226005 427468878 429357665 429374458 429328947 429380192 429361145 429339584 429306332 429342086 429300996 429352011 429351643 429320456 429342000 429299169 429374727 429326314 429344646 429360376 429332699 429334490 429362645 429347420 429337939 429334633 429288288 429324533 429333393 429368174 429297014 429247289 
51 429175423 427526305 429455541 429323982 429349411 429319830 429348924 429373138 429359877 429373457 429349268 429357304 429362695 429369761 429327790 429344561 429339130 429345712 429374396 429396348 429368211 429356001 429324551 429369150 429356991 429300608 429414966 429357538 429297094 429370730 429422078 429258834 
52 429200239 427471511 429350642 429316529 429308139 429362454 429324802 429298014 429374569 429342585 429365041 429351655 429362032 429343179 429326043 429210360 429409820 429345329 429347650 429302864 429364054 429361288 429358250 429341047 429308219 429321769 429344094 429288738 429308020 429396606 429335601 429299418 
53 429177736 427489065 429343373 429373735 429378908 429353859 429318392 429435223 429369965 429353326 429368395 429371570 429355215 429331649 429352747 429304478 429307734 429295470 429368187 429346720 429386672 429398805 429301822 429357654 429336435 429314423 429337278 429378980 429342052 429359121 429463991 429279390 
54 429174635 427487230 429396642 429327285 429333794 429338413 429357176 429357413 429328477 429391344 429355472 429310398 429343121 429353673 429381665 429280887 429365147 429345805 429356847 429330013 429361585 429386392 429365316 429349006 429363049 429376846 429306777 429366532 429376107 429358788 429348388 429294247 
55 429095239 427561847 429370196 429308015 429350217 429363110 429338231 429409990 429370611 429380102 429353313 429379963 429333746 429313775 429376176 429336603 429363665 429338157 429330215 429361694 429363238 429348866 429391215 429353667 429387185 429359161 429347807 429376385 429340874 429364993 429442676 429266147 
56 429192994 427547134 429438514 429349927 429319150 429359649 429323914 429351582 429404244 429307549 429318393 429349427 429365104 429335534 429384744 429266817 429394562 429317171 429341579 429313162 429395156 429362245 429347349 429359320 429382778 429357897 429363703 429386841 429390204 429308600 429311804 429330975 
57 429154555 427541489 429348390 429349533 429354597 429357391 429416660 429322563 429378694 429393964 429391096 429440336 429326584 429367669 429339829 429265157 429341596 429355305 429372904 429408754 429364451 429359756 429359885 429307043 429425045 429370897 429332373 429352480 429318787 429361611 429485380 429261693 
58 429176226 427511929 429416890 429327119 429335155 429331866 429340156 429337673 429316893 429344176 429325347 429342092 429313911 429405890 429364991 429344987 429348987 429355572 429393584 429387943 429393401 429323004 429381353 429352776 429354845 429381968 429368445 429364572 429397654 429377984 429282154 429293568 
59 429245382 427555855 429371983 429332667 429347876 429353059 429359616 429324530 429386316 429395089 429351173 429349041 429415608 429355898 429402004 429299650 429414330 429385138 429314017 429358333 429339353 429304219 429361573 429412435 429324588 429370477 429368355 429427279 429390806 429412374 429482323 429321317 
60 429172230 427576573 429362629 429376267 429403891 429378178 429316318 429353758 429389746 429361731 429349414 429391730 429335067 429345757 429372818 429319412 429389984 429366640 429389029 429371681 429369789 429347259 429461141 429354407 429350698 429353113 429351499 429370545 429340688 429422677 429269031 429309827 
61 429168766 427634361 429423385 429381143 429352233 429387243 429342496 429342648 429361625 429305956 429351890 429379671 429345907 429324497 429380462 429310592 429401620 429366419 429394767 429391753 429366110 429372785 429377937 429381059 429369850 429356563 429360025 429341273 429357692 429356313 429494196 429355140 
62 429163684 427578192 429413353 429392517 429343078 429354663 429355666 429341339 429372607 429336053 429438896 429368205 429413139 429402759 429425437 429315739 429391672 429295163 429352443 429373067 429332973 429348107 429396116 429350747 429364133 429383811 429391349 429409071 429432941 429365106 429341320 429368780 
63 429161047 427550757 429376445 429383046 429395979 429350360 429370310 429378397 429381948 429373750 429385405 429363636 429351849 429358346 429407286 429369422 429374456 429407807 429398598 429359687 429386713 429406665 429320136 429364423 429397653 429434619 429411948 429359132 429461915 429375473 429465459 429292085 
64 429314591 427579303 429356218 429301130 429430180 429411701 429408766 429382080 429389466 429399417 429373597 429346064 429365894 429386077 429355568 429357512 429385353 429408340 429416980 429413772 429325046 429430333 429393319 429440916 429402423 429437799 429425630 429367249 429412693 429393857 429300156 429363783 
65 429095747 427645515 429357872 429353102 429360012 429364765 429361325 429335061 429411637 429349933 429401941 429414098 429469345 429428954 429392691 429340340 429444823 429376025 429446986 429434041 429371168 429395799 429431394 429340689 429393708 429442408 429489255 429405016 429398627 429385993 429450130 429303550 
66 429161869 427560090 429361744 429405770 429405012 429393551 429384925 429349596 429367407 429394822 429389594 429376676 429354273 429426235 429366077 429299216 429373289 429405860 429397988 429345995 429347534 429330992 429362007 429349942 429390800 429410994 429378310 429405179 429378850 429440213 429326085 429363635 
67 429291178 427631575 429400460 429400334 429353825 429307153 429367943 429415709 429445437 429393510 429379044 429388872 429413328 429347771 429351417 429359395 429396123 429360167 429370246 429420108 429336479 429404692 429368493 429351006 429347631 429430188 429386615 429394960 429345541 429348265 429425711 429338110 
68 429224265 427610660 429367590 429465827 429416615 429390419 429424828 429339657 429373587 429357422 429415269 429376871 429350100 429312839 429408035 429268891 429410634 429415885 429444903 429357279 429396784 429347334 429435900 429373445 429371188 429404364 429418275 429446748 429426093 429403066 429302673 429322713 
69 429133128 427679340 429402428 429356484 429399690 429339022 429377363 429357898 429390673 429394812 429419724 429394640 429340467 429395062 429438658 429275383 429399552 429365715 429398898 429411658 429398339 429397330 429428222 429391157 429368078 429367075 429368040 429449560 429400656 429405097 429475308 429331298 
70 429154016 427693804 429423989 429408171 429393022 429389796 429425529 429416405 429416184 429387616 429437753 429414615 429382975 429386689 429434156 429346534 429354833 429397467 429367444 429401122 429408003 429418172 429415959 429428396 429381607 429447164 429384852 429352848 429453045 429361231 429339313 429405055 
71 429189213 427704694 429442301 429410736 429426760 429384414 429362858 429395312 429398891 429410971 429387701 429395922 429398517 429388070 429376989 429382144 429422166 429362173 429362947 429397318 429430707 429362663 429424003 429438835 429430511 429405316 429409471 429392463 429377237 429479820 429482389 429294710 
72 429244511 427664714 429378499 429376138 429386508 429420576 429420020 429406294 429362241 429368955 429409517 429407378 429382740 429396985 429450249 429306703 429416232 429380480 429380411 429396185 429424387 429442126 429422650 429365656 429409558 429330722 429479010 429379917 429446089 429420183 429312267 429400195 
73 429159714 427675891 429392926 429369033 429427696 429407884 429386413 429429825 429390364 429406277 429431592 429386048 429401295 429385903 429419340 429360308 429445387 429461861 429430081 429403405 429398007 429377326 429435889 429431527 429429540 429408798 429407023 429443865 429297148 429399668 429488242 429281188 
