n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
41 39020328 38858262 39027461 39020732 39038308 39032193 39039879 39024476 39014464 39042533 39026887 39014003 39025866 39037205 39043425 39022852 39027033 39026539 39029846 39027740 39030667 39027996 39035332 39022241 39032373 39031211 39034123 39035340 39025489 39032593 39032478 39017842 
42 39020596 38857407 39033555 39034304 39030491 39032678 39032800 39032442 39037065 39018213 39031938 39021471 39022245 39024211 39030003 39043181 39037155 39038370 39030825 39036154 39017188 39024706 39020283 39026951 39035188 39025358 39031298 39037629 39032213 39043356 39028976 39025789 
43 39006195 38859932 39040168 39020452 39033651 39029645 39020613 39041506 39027515 39025918 39032405 39026872 39030783 39019239 39027813 39027002 39033316 39032169 39029820 39031132 39035326 39030661 39033372 39029254 39035446 39033162 39029865 39033047 39025663 39023775 39037906 39024173 
44 39019124 38848838 39026762 39025697 39033213 39022981 39038749 39041533 39026437 39030055 39031146 39028137 39030577 39028298 39022280 39021875 39032335 39020033 39026791 39037672 39036383 39021001 39027127 39031915 39042098 39031737 39032266 39031308 39026289 39015899 39035372 39026108 
45 39010664 38851990 39036045 39035674 39025681 39030044 39028711 39036511 39034865 39034474 39032755 39030067 39033752 39034100 39027016 39032598 39033089 39026918 39015311 39026221 39032211 39033753 39026108 39023713 39033507 39024613 39042646 39023641 39036129 39024513 39039908 39031092 
46 39019419 38850867 39024291 39031807 39034666 39027305 39027790 39028775 39037123 39036010 39030359 39030213 39037087 39031636 39033096 39025413 39034618 39030147 39028910 39024877 39031627 39022984 39030292 39028100 39025045 39030894 39029390 39032036 39038539 39030593 39032593 39032277 
47 39026173 38852860 39030992 39031364 39026049 39042881 39032764 39030905 39041867 39031731 39025382 39036579 39027998 39036321 39023156 39027542 39032437 39032553 39035315 39036664 39025763 39038495 39049049 39038872 39020483 39016320 39023798 39030801 39027443 39033289 39031798 39012511 
48 39037771 38847742 39026545 39042874 39025587 39033689 39034093 39024067 39034020 39026150 39031803 39038531 39028867 39031159 39036062 39028076 39033512 39036887 39031216 39031680 39046948 39027126 39031596 39032756 39038367 39032947 39040217 39024414 39032949 39032497 39027032 39026699 
49 38993475 38871084 39032188 39030759 39032803 39030565 39030050 39031911 39034860 39025265 39031125 39042620 39034264 39032474 39032569 39024090 39028791 39041167 39036913 39032806 39033978 39030057 39032509 39032493 39035649 39037884 39032690 39044973 39045296 39038270 39040036 39020907 
50 39019678 38855913 39037460 39042427 39025723 39025133 39040115 39028466 39027965 39032218 39027096 39030146 39036161 39028446 39039690 39022887 39038829 39032660 39031022 39042881 39031573 39028146 39032250 39028094 39025573 39035569 39024087 39021423 39023746 39032790 39013818 39027513 
