n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
35 4303273 4287301 4296169 4295659 4297842 4292829 4296507 4294637 4295754 4299737 4300860 4297787 4299874 4293101 4295055 4293198 4294909 4292408 4297458 4300287 4297374 4299197 4298322 4294478 4297107 4295457 4293874 4297877 4298071 4298276 4292553 4293018 
36 4302061 4292398 4293664 4294460 4296128 4295794 4295854 4300199 4298685 4299777 4298258 4293923 4295160 4295503 4299377 4295919 4291631 4300580 4299145 4296337 4293892 4295476 4299267 4297744 4294590 4292926 4295827 4292986 4300037 4299179 4292875 4293808 
37 4299976 4287209 4296850 4295739 4294619 4293264 4294131 4299156 4298198 4301672 4298158 4292626 4297042 4295934 4293407 4293327 4291308 4299984 4299759 4297175 4291247 4296670 4297717 4298264 4299225 4297215 4292799 4292229 4296758 4302410 4294581 4294912 
38 4304855 4290423 4297153 4293812 4297724 4290364 4293940 4297078 4295275 4303046 4298107 4295986 4297372 4292961 4290557 4296832 4296660 4292627 4299426 4298396 4294766 4296380 4299214 4298645 4297355 4295819 4294565 4293142 4294585 4296937 4292722 4295643 
39 4310161 4286803 4293931 4294660 4296278 4293637 4299903 4296436 4295946 4300747 4298456 4293640 4302630 4298332 4295341 4292948 4321531 4298261 4301375 4298841 4294386 4297848 4298327 4300928 4296205 4295339 4291144 4318912 4293966 4299081 4292435 4297171 
40 4301175 4285764 4294966 4297817 4294120 4291954 4299543 4299855 4298251 4301994 4300651 4291328 4299039 4296262 4293614 4287593 4295184 4299952 4301860 4299698 4296506 4293810 4298587 4298896 4300970 4297686 4298352 4295513 4295777 4297191 4292975 4292833 
41 4299784 4289059 4296900 4296282 4297584 4291384 4300754 4300979 4296760 4297970 4300462 4295107 4299663 4296879 4293726 4292477 4296419 4297780 4300914 4298501 4296662 4295455 4294245 4296446 4302600 4292190 4295735 4295749 4294401 4303040 4297159 4295422 
42 4300244 4285532 4292984 4296059 4294276 4293774 4296007 4299769 4299279 4305823 4302090 4294837 4301509 4294821 4293833 4290684 4296556 4297049 4302300 4299223 4293564 4296666 4299619 4294212 4298867 4299351 4295307 4295138 4290767 4302026 4295666 4295826 
43 4302474 4288209 4295624 4296480 4293722 4290661 4297190 4297513 4295397 4304033 4301008 4295705 4297345 4298178 4293630 4286792 4296425 4294091 4297909 4302171 4295473 4297563 4298433 4299414 4299926 4296176 4293395 4291657 4293508 4300003 4292201 4300171 
44 4301350 4292264 4296747 4296105 4292601 4293090 4295532 4296978 4296157 4303992 4299865 4296568 4294910 4299463 4288197 4317982 4297095 4295910 4299809 4300258 4298170 4299141 4296277 4301079 4301193 4294950 4291885 4297534 4294980 4300531 4295409 4298107 
45 4297004 4287580 4297046 4296240 4298306 4293855 4296232 4297351 4298189 4300112 4296716 4293164 4299944 4296152 4292019 4292237 4289220 4299342 4301195 4297712 4293606 4296413 4297286 4302066 4297982 4293240 4294704 4293408 4296890 4298024 4290491 4295800 
46 4300206 4290694 4296529 4294233 4295594 4291669 4295864 4297504 4297153 4302835 4302120 4294036 4297768 4299640 4293690 4289335 4295204 4297176 4295952 4298272 4294964 4297186 4301138 4297483 4300454 4295137 4293457 4293011 4298139 4296654 4297933 4300182 
47 4299401 4289718 4294825 4294814 4296316 4293201 4301547 4297377 4297370 4302008 4296477 4294520 4300897 4293503 4295496 4292889 4291190 4298423 4299037 4298665 4295918 4298898 4298759 4296180 4295722 4292621 4290470 4293272 4296690 4300010 4296269 4295194 
48 4299627 4285213 4289151 4293023 4298002 4325999 4299603 4297126 4296839 4301046 4302791 4293979 4301909 4295317 4297244 4297926 4291494 4298581 4302808 4295879 4294624 4299938 4294575 4295286 4296560 4295201 4297838 4292787 4293033 4299133 4296140 4296135 
